Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
1,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,0.486,36.5,58,994,275,241,0.394,0.462,0.705,1.167,0.311,20.0%,9.8%,2.04,6.2%,1.07,14.18,0.456,51.5%,0.486,100.0%,72.325,0.263,24.610541351225596,170.0603387170869
2,1960026247,J. French,Jacob French,French,Jacob,RF,University of California,CAL,730152448,California,BBC,L,R,0.432,19.5,53,651,218,195,0.39,0.44,0.564,1.004,0.174,9.2%,3.7%,2.5,1.8%,0.64,48.75,0.414,56.3%,0.432,40.0%,47.523999999999994,0.21799999999999997,20.28276820693869,111.74486743437035
3,1770120373,T. Marsh,Tatum Marsh,Marsh,Tatum,LF,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.427,18.2,50,801,212,175,0.377,0.459,0.526,0.985,0.149,11.3%,5.2%,2.18,1.4%,0.94,58.33,0.414,55.9%,0.427,44.4%,45.33266666666666,0.21383333333333332,19.922719738875678,106.5923076153768
4,1135898880,K. Lewis,Kade Lewis,Lewis,Kade,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,R,0.462,32.0,60,1088,282,226,0.376,0.482,0.602,1.084,0.226,16.0%,16.0%,1.0,3.9%,0.77,20.55,0.423,57.1%,0.462,80.0%,68.526,0.243,22.685331808994775,161.12761522194396
5,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,0.473,32.9,61,1012,269,226,0.372,0.45,0.708,1.158,0.336,19.0%,11.2%,1.7,6.7%,0.92,12.56,0.405,56.4%,0.473,85.7%,67.83283333333333,0.25216666666666665,23.568297349873784,159.49774784384886
6,1318666496,E. Becker,Eric Becker,Becker,Eric,SS,University of Virginia,UVA,5415,Virginia,BBC,L,R,0.456,25.7,50,884,236,201,0.368,0.453,0.617,1.07,0.249,17.4%,8.9%,1.95,3.8%,1.08,22.33,0.425,53.6%,0.456,62.5%,56.168,0.238,22.227644586972893,132.0698113385598
7,1310689792,C. McHugh,Chris McHugh,McHugh,Chris,1B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.434,21.5,53,851,236,197,0.365,0.462,0.533,0.995,0.168,16.9%,9.7%,1.74,3.0%,0.85,28.14,0.428,52.6%,0.434,50.0%,51.84133333333333,0.21966666666666665,20.44798357002374,121.89636648755027
8,1142570752,E. King Jr.,Eddie King Jr.,King Jr.,Eddie,RF,University of Louisville,LOU,5467,Louisville,BBC,R,R,0.483,29.2,55,877,224,189,0.365,0.435,0.746,1.181,0.381,17.0%,9.4%,1.81,7.6%,0.85,11.12,0.371,62.1%,0.483,80.0%,58.35199999999999,0.26049999999999995,24.37352836421261,137.2051280306872
9,1336579840,H. Ford,Henry Ford,Ford,Henry,RF,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.425,19.3,50,782,231,207,0.362,0.42,0.575,0.995,0.213,13.0%,9.1%,1.43,4.8%,0.84,18.82,0.381,59.5%,0.425,100.0%,49.01049999999999,0.21216666666666664,19.692792433476676,115.24012762798183
10,1196851968,M. Houston,Marek Houston,Houston,Marek,SS,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,0.448,30.6,61,1230,298,243,0.354,0.458,0.597,1.055,0.243,15.4%,15.4%,1.0,5.0%,1.0,16.20,0.382,59.7%,0.448,90.5%,68.93733333333333,0.2313333333333333,21.606270454337245,162.09479788343438
11,1100775680,C. Cannarella,Cam Cannarella,Cannarella,Cam,CF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,0.439,27.8,61,1189,292,232,0.353,0.479,0.53,1.01,0.177,14.4%,17.8%,0.81,1.7%,1.02,46.40,0.412,56.7%,0.439,60.0%,65.35933333333332,0.2238333333333333,20.858362023703798,153.6817195297567
12,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.516,32.2,48,858,205,158,0.348,0.498,0.753,1.251,0.405,19.5%,16.6%,1.18,8.3%,1.08,9.29,0.376,59.4%,0.516,100.0%,59.040000000000006,0.28800000000000003,27.04513115166905,138.82284684212667
13,1274288640,V. Lackey,Vahn Lackey,Lackey,Vahn,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.399,16.8,60,975,266,222,0.347,0.421,0.5,0.921,0.153,14.3%,9.4%,1.52,2.3%,0.75,37.00,0.386,58.7%,0.399,85.7%,50.673,0.1905,17.65360355218253,119.14922286638014
14,1204530458,J. Munroe,Jake Munroe,Munroe,Jake,3B,University of Louisville,LOU,5467,Louisville,BBC,R,R,0.445,29.8,66,1105,299,243,0.346,0.451,0.593,1.044,0.247,16.7%,12.7%,1.32,4.3%,1.03,18.69,0.386,58.2%,0.445,66.7%,68.42116666666666,0.22883333333333333,21.304369262444812,160.88111688560787
15,1100118528,E. Hott,Ethan Hott,Hott,Ethan,CF,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.399,8.7,38,495,137,117,0.342,0.414,0.504,0.918,0.162,13.9%,7.3%,1.9,2.2%,0.5,39.00,0.385,60.4%,0.399,75.0%,26.0985,0.1905,17.68817904200197,61.3663290702785
16,1336589568,J. Advincula,Jarren Advincula,Advincula,Jarren,2B,University of California,CAL,730152448,California,BBC,L,R,0.397,16.5,55,860,267,237,0.342,0.41,0.506,0.916,0.165,10.9%,8.2%,1.32,2.2%,0.87,39.50,0.369,61.6%,0.397,86.7%,50.418499999999995,0.18883333333333333,17.517589359397196,118.55080798627647
17,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,0.392,18.4,66,1145,318,271,0.339,0.43,0.454,0.884,0.114,9.1%,10.7%,0.85,1.6%,1.29,54.20,0.366,60.5%,0.392,98.1%,58.724000000000004,0.18466666666666667,17.123977600510898,138.07982482989576
18,1314888960,G. Harrelson,Gage Harrelson,Harrelson,Gage,RF,Florida State University,FSU,101,Florida State,BBC,L,L,0.401,18.7,58,1157,288,236,0.339,0.444,0.462,0.906,0.123,21.2%,12.2%,1.74,1.7%,1.09,47.20,0.434,53.8%,0.401,83.3%,55.344,0.19216666666666668,17.830869634053876,130.1323109016033
19,1898890507,C. Dulin,Caden Dulin,Dulin,Caden,2B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.393,12.8,48,817,218,184,0.337,0.421,0.478,0.9,0.141,11.0%,11.9%,0.92,1.8%,0.83,46.00,0.365,62.3%,0.393,66.7%,40.439,0.1855,17.209373711525842,95.08565554621883
20,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.431,24.0,59,1045,270,230,0.335,0.415,0.609,1.024,0.274,18.1%,11.9%,1.53,5.9%,0.8,14.38,0.359,61.8%,0.431,83.3%,58.635,0.21716666666666665,20.22670296738721,137.8705559720206
21,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,0.481,37.4,60,1165,290,228,0.333,0.469,0.693,1.162,0.36,14.5%,18.3%,0.79,6.6%,1.28,12.00,0.337,63.9%,0.481,90.9%,75.06166666666665,0.2588333333333333,24.234365802636255,176.49516015212447
21,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.454,16.9,39,677,157,126,0.333,0.465,0.595,1.06,0.262,21.7%,14.0%,1.55,5.7%,0.85,14.00,0.398,57.8%,0.454,90.0%,37.10433333333334,0.23633333333333334,22.1021452886894,87.24473549309873
