Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
1,1281476864,A. Redahan,Aidan Redahan,Redahan,Aidan,1B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,0.505,65.247,34.7,48,812,234,201,0.453,0.511,0.692,1.202,0.239,5.1%,10.7%,0.48,3.8%,1.29,22.33,0.446,52.7%,0.505,90.9%,0.2788333333333333,25.847522216922968
2,1279221760,C. Thibodeaux,Cardell Thibodeaux,Thibodeaux,Cardell,LF,Southern University,SOU,4767,Southern,BBC,L,L,0.567,78.65899999999999,47.1,49,859,238,189,0.439,0.544,0.847,1.391,0.407,11.3%,16.4%,0.69,7.6%,1.49,10.50,0.445,54.1%,0.567,70.6%,0.33049999999999996,30.808378354249697
3,1204866561,K. Durschlag,Konni Durschlag,Durschlag,Konni,CF,High Point University,HP,730321152,High Point,BBC,R,R,0.535,85.98483333333334,48.6,56,1106,283,221,0.43,0.543,0.747,1.289,0.317,12.0%,13.8%,0.87,5.3%,1.41,14.73,0.457,51.4%,0.535,100.0%,0.30383333333333334,28.191607264188235
4,1259966976,A. Robbins,Aiden Robbins,Robbins,Aiden,RF,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,0.504,70.89,37.5,53,953,255,204,0.422,0.537,0.652,1.189,0.23,12.5%,17.3%,0.73,2.4%,1.19,34.00,0.482,47.6%,0.504,100.0%,0.278,25.724344740804316
5,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,0.544,66.93666666666667,38.5,46,869,215,169,0.42,0.533,0.781,1.314,0.361,19.1%,14.9%,1.28,6.5%,1.13,12.07,0.5,48.3%,0.544,94.7%,0.31133333333333335,28.925439132049192
6,1238200064,J. Cruz,Juan Cruz,Cruz,Juan,1B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,0.484,77.61599999999999,38.9,60,855,297,255,0.42,0.481,0.69,1.172,0.271,7.4%,11.1%,0.67,4.7%,1.03,18.21,0.413,56.4%,0.484,100.0%,0.2613333333333333,24.11610548550624
7,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,0.53,87.80233333333334,49.2,59,1055,293,236,0.419,0.519,0.767,1.286,0.347,9.6%,16.0%,0.6,6.1%,1.22,13.11,0.418,56.7%,0.53,72.7%,0.2996666666666667,27.81027126158328
8,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,0.516,85.82400000000001,46.8,61,1088,298,242,0.413,0.52,0.723,1.243,0.31,15.4%,13.1%,1.18,5.4%,1.21,15.13,0.464,50.3%,0.516,85.7%,0.28800000000000003,26.723160374440326
9,1225722624,B. Parker,Ben Parker,Parker,Ben,CF,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,0.5,74.984,39.3,56,980,273,231,0.407,0.498,0.684,1.182,0.277,12.1%,11.0%,1.1,4.0%,1.25,21.00,0.444,52.9%,0.5,85.0%,0.27466666666666667,25.414066783467536
10,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,0.481,71.17916666666666,35.5,55,989,275,238,0.403,0.465,0.685,1.15,0.282,18.5%,9.8%,1.89,5.1%,1.25,17.00,0.461,52.2%,0.481,87.8%,0.2588333333333333,23.927553296954052
11,1184595712,J. Tharnish,Jayce Tharnish,Tharnish,Jayce,CF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,0.453,51.1035,23.2,46,700,217,196,0.403,0.461,0.597,1.058,0.194,12.4%,7.8%,1.59,3.2%,1.28,28.00,0.444,51.2%,0.453,97.0%,0.2355,21.70970662749448
12,1301146368,M. King,Matt King,King,Matt,SS,Arizona State University,ASU,5035,Arizona State,BBC,R,R,0.451,58.458333333333336,26.3,56,870,250,216,0.403,0.464,0.593,1.057,0.19,8.0%,8.0%,1.0,2.8%,0.84,30.86,0.412,56.2%,0.451,80.0%,0.23383333333333334,21.538462387863145
13,1325732096,M. Wolf,Mason Wolf,Wolf,Mason,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,0.453,43.0965,19.5,44,687,183,150,0.4,0.475,0.593,1.069,0.193,11.5%,11.5%,1.0,2.7%,0.8,30.00,0.423,54.6%,0.453,81.8%,0.2355,21.674200092781177
14,1150231808,B. Casillas,Benny Casillas,Casillas,Benny,SS,University of Michigan,MICH,2290,Michigan,BBC,R,R,0.458,59.677,27.5,55,967,249,208,0.399,0.481,0.582,1.063,0.183,10.4%,11.2%,0.93,2.0%,0.98,41.60,0.438,55.6%,0.458,85.7%,0.23966666666666667,22.06263909469045
15,1126287616,K. Walker,Khalil Walker,Walker,Khalil,CF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,0.449,52.70183333333333,23.4,53,795,227,198,0.399,0.457,0.591,1.048,0.192,10.1%,7.9%,1.28,1.8%,0.91,49.50,0.434,53.8%,0.449,33.3%,0.23216666666666666,21.326832431916003
16,1143053312,B. Phelps,Bryce Phelps,Phelps,Bryce,RF,Wagner College,WAG,730192640,Wagner,BBC,R,R,0.431,48.211,19.6,51,599,222,188,0.399,0.482,0.489,0.971,0.09,11.7%,8.6%,1.37,0.5%,0.96,188.00,0.465,51.6%,0.431,66.7%,0.21716666666666665,19.84729121669197
17,1296546560,D. Palmer,Dylan Palmer,Palmer,Dylan,3B,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,0.426,52.82399999999999,21.0,53,750,248,221,0.398,0.449,0.534,0.983,0.136,7.3%,6.5%,1.13,0.4%,0.89,221.00,0.426,55.4%,0.426,91.4%,0.21299999999999997,19.48620432334701
18,1460638543,R. Wideman,Ryan Wideman,Wideman,Ryan,CF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,0.469,70.41983333333333,33.7,60,991,283,244,0.398,0.466,0.652,1.118,0.254,16.6%,8.1%,2.04,3.5%,1.18,24.40,0.455,51.3%,0.469,81.8%,0.24883333333333332,22.92658959634371
19,1173758464,T. Rutledge,Trey Rutledge,Rutledge,Trey,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,0.488,48.169333333333334,24.4,41,520,182,126,0.397,0.573,0.524,1.097,0.127,7.7%,20.3%,0.38,0.5%,1.37,126.00,0.441,52.3%,0.488,94.4%,0.26466666666666666,24.42505579445655
20,1108462592,K. Cross,Kerrington Cross,Cross,Kerrington,3B,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,0.492,73.164,37.7,56,1140,273,207,0.396,0.526,0.647,1.173,0.251,12.8%,18.3%,0.7,4.4%,1.16,17.25,0.427,54.3%,0.492,81.3%,0.268,24.827986197386952
21,1207887104,G. Wright,Garrett Wright,Wright,Garrett,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,0.478,67.15933333333332,33.1,54,813,262,202,0.396,0.504,0.644,1.147,0.248,8.8%,9.2%,0.96,3.1%,1.11,25.25,0.404,54.5%,0.478,85.7%,0.2563333333333333,23.652050174122685
22,1236944640,A. Lodise,Alex Lodise,Lodise,Alex,SS,Florida State University,FSU,101,Florida State,BBC,R,R,0.486,72.325,36.5,58,994,275,241,0.394,0.462,0.705,1.167,0.311,20.0%,9.8%,2.04,6.2%,1.07,14.18,0.456,51.5%,0.486,100.0%,0.263,24.29118966059042
23,1342169853,S. Campbell,Scott Campbell,Campbell,Scott,RF,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,0.483,60.95699999999999,30.6,55,809,234,188,0.394,0.502,0.628,1.13,0.234,10.7%,8.5%,1.25,4.7%,1.29,17.09,0.409,57.8%,0.483,91.3%,0.26049999999999995,24.095385464786222
24,1196789504,D. Wyers,Drew Wyers,Wyers,Drew,3B,Bryant University,BRY,730266880,Bryant,BBC,R,R,0.507,54.416999999999994,29.1,43,682,194,150,0.393,0.521,0.687,1.207,0.293,8.8%,13.4%,0.65,5.7%,0.98,13.64,0.387,58.1%,0.507,90.0%,0.28049999999999997,26.01846238786314
25,1122512640,B. Calloway,Bryce Calloway,Calloway,Bryce,TWP,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,0.504,67.83200000000001,35.9,54,958,244,205,0.39,0.484,0.722,1.206,0.332,24.6%,12.7%,1.94,7.4%,1.17,11.39,0.484,44.5%,0.504,33.3%,0.278,25.731577141961502
